itrial,dataset,method,coverage,width,L2_lambda
1,communities,IF1-jackknife,0.535,0.7344216975355997,4.0
1,communities,IF1-jackknife-mm,0.57,0.8224009161895718,4.0
1,communities,IF1-jackknife+,0.535,0.7311499039060976,4.0
1,communities,IF1-JAWA,0.535,0.7359638452126324,4.0
1,communities,IF1-JAWAmm,0.57,0.812127561785859,4.0
1,communities,IF2-jackknife,0.595,0.9411627263165836,4.0
1,communities,IF2-jackknife-mm,0.665,1.094253055115515,4.0
1,communities,IF2-jackknife+,0.61,0.9410243357861702,4.0
1,communities,IF2-JAWA,0.61,0.9475279365593574,4.0
1,communities,IF2-JAWAmm,0.665,1.08639503016524,4.0
1,communities,IF3-jackknife,0.67,1.1394300575888578,4.0
1,communities,IF3-jackknife-mm,0.775,1.4026611444281105,4.0
1,communities,IF3-jackknife+,0.66,1.1305995073266537,4.0
1,communities,IF3-JAWA,0.665,1.1384890127119132,4.0
1,communities,IF3-JAWAmm,0.775,1.399155471482279,4.0
1,communities,IF1-jackknife,0.685,1.1651837895031332,8.0
1,communities,IF1-jackknife-mm,0.74,1.2961180782565722,8.0
1,communities,IF1-jackknife+,0.685,1.1519412401387294,8.0
1,communities,IF1-JAWA,0.685,1.158757577822775,8.0
1,communities,IF1-JAWAmm,0.73,1.2555017561404251,8.0
1,communities,IF2-jackknife,0.765,1.4036215340803433,8.0
1,communities,IF2-jackknife-mm,0.835,1.6473796468640665,8.0
1,communities,IF2-jackknife+,0.77,1.408674845948584,8.0
1,communities,IF2-JAWA,0.775,1.4162777385202194,8.0
1,communities,IF2-JAWAmm,0.835,1.6405801423380322,8.0
1,communities,IF3-jackknife,0.815,1.6124759839685376,8.0
1,communities,IF3-jackknife-mm,0.92,2.157152518678984,8.0
1,communities,IF3-jackknife+,0.8,1.590104629687536,8.0
1,communities,IF3-JAWA,0.81,1.601054515111941,8.0
1,communities,IF3-JAWAmm,0.92,2.1570928102654285,8.0
1,communities,IF1-jackknife,0.815,1.6149409343084538,16.0
1,communities,IF1-jackknife-mm,0.85,1.7804165046886067,16.0
1,communities,IF1-jackknife+,0.825,1.6067924094690773,16.0
1,communities,IF1-JAWA,0.825,1.6141653175877666,16.0
1,communities,IF1-JAWAmm,0.845,1.7629163208808374,16.0
1,communities,IF2-jackknife,0.845,1.854337980130266,16.0
1,communities,IF2-jackknife-mm,0.9,2.099272037178742,16.0
1,communities,IF2-jackknife+,0.855,1.8675977121819969,16.0
1,communities,IF2-JAWA,0.855,1.8762880748531225,16.0
1,communities,IF2-JAWAmm,0.9,2.0957732508667517,16.0
1,communities,IF3-jackknife,0.875,2.019657357233936,16.0
1,communities,IF3-jackknife-mm,0.92,2.3132860738273098,16.0
1,communities,IF3-jackknife+,0.875,2.0165740688502476,16.0
1,communities,IF3-JAWA,0.88,2.02464900817853,16.0
1,communities,IF3-JAWAmm,0.92,2.312034589194147,16.0
1,communities,IF1-jackknife,0.87,1.8074082856247327,32.0
1,communities,IF1-jackknife-mm,0.89,1.9862710051103716,32.0
1,communities,IF1-jackknife+,0.87,1.7872955439739713,32.0
1,communities,IF1-JAWA,0.87,1.8015573520219266,32.0
1,communities,IF1-JAWAmm,0.885,1.9224845231970722,32.0
1,communities,IF2-jackknife,0.89,1.9977746163584862,32.0
1,communities,IF2-jackknife-mm,0.915,2.251375681042319,32.0
1,communities,IF2-jackknife+,0.89,2.0068714930319413,32.0
1,communities,IF2-JAWA,0.895,2.025253666448659,32.0
1,communities,IF2-JAWAmm,0.915,2.2017260387170925,32.0
1,communities,IF3-jackknife,0.895,2.0906697976002824,32.0
1,communities,IF3-jackknife-mm,0.925,2.3816489768200935,32.0
1,communities,IF3-jackknife+,0.905,2.1312241166209436,32.0
1,communities,IF3-JAWA,0.905,2.148394460753214,32.0
1,communities,IF3-JAWAmm,0.925,2.3521828376041394,32.0
1,communities,IF1-jackknife,0.905,1.9313807578496718,64.0
1,communities,IF1-jackknife-mm,0.935,2.105790198538773,64.0
1,communities,IF1-jackknife+,0.91,1.9400620769810257,64.0
1,communities,IF1-JAWA,0.92,1.9928534568731726,64.0
1,communities,IF1-JAWAmm,0.925,2.041621613427404,64.0
1,communities,IF2-jackknife,0.93,2.151444531353973,64.0
1,communities,IF2-jackknife-mm,0.96,2.3885377296801966,64.0
1,communities,IF2-jackknife+,0.93,2.1453297335748456,64.0
1,communities,IF2-JAWA,0.94,2.1662403221416255,64.0
1,communities,IF2-JAWAmm,0.95,2.2960031568710497,64.0
1,communities,IF3-jackknife,0.935,2.1940916636722405,64.0
1,communities,IF3-jackknife-mm,0.96,2.457375896546195,64.0
1,communities,IF3-jackknife+,0.935,2.2068513459315486,64.0
1,communities,IF3-JAWA,0.94,2.2447562413625306,64.0
1,communities,IF3-JAWAmm,0.96,2.405813231822708,64.0
1,communities,IF1-jackknife,0.94,2.3266967976779456,96.0
1,communities,IF1-jackknife-mm,0.955,2.4847877061234964,96.0
1,communities,IF1-jackknife+,0.94,2.3266967976779456,96.0
1,communities,IF1-JAWA,0.95,2.5203345216790747,96.0
1,communities,IF1-JAWAmm,0.945,2.3294633760598504,96.0
1,communities,IF2-jackknife,0.95,2.5625907129096417,96.0
1,communities,IF2-jackknife-mm,0.965,2.7633179630625504,96.0
1,communities,IF2-jackknife+,0.955,2.5625907129096417,96.0
1,communities,IF2-JAWA,0.955,2.734843983573096,96.0
1,communities,IF2-JAWAmm,0.96,2.5439672553150325,96.0
1,communities,IF3-jackknife,0.955,2.6556699794923704,96.0
1,communities,IF3-jackknife-mm,0.97,2.869040418791891,96.0
1,communities,IF3-jackknife+,0.955,2.6556699794923704,96.0
1,communities,IF3-JAWA,0.955,2.812494773443923,96.0
1,communities,IF3-JAWAmm,0.96,2.6318950196476605,96.0
1,communities,IF1-jackknife,0.945,2.8853453271209055,128.0
1,communities,IF1-jackknife-mm,0.97,3.0033858225279033,128.0
1,communities,IF1-jackknife+,0.945,2.8853453271209055,128.0
1,communities,IF1-JAWA,0.955,3.0650633829737792,128.0
1,communities,IF1-JAWAmm,0.94,2.639039174657996,128.0
1,communities,IF2-jackknife,0.95,3.0225349629775504,128.0
1,communities,IF2-jackknife-mm,0.97,3.1638853853573705,128.0
1,communities,IF2-jackknife+,0.955,3.0225349629775504,128.0
1,communities,IF2-JAWA,0.96,3.17818656535261,128.0
1,communities,IF2-JAWAmm,0.955,2.771560832203139,128.0
1,communities,IF3-jackknife,0.955,3.0555206302082842,128.0
1,communities,IF3-jackknife-mm,0.975,3.2024506756254647,128.0
1,communities,IF3-jackknife+,0.96,3.0555206302082842,128.0
1,communities,IF3-JAWA,0.965,3.2018343841064274,128.0
1,communities,IF3-JAWAmm,0.955,2.801567509523207,128.0
2,communities,IF1-jackknife,0.05,0.11389604377678049,0.5
2,communities,IF1-jackknife-mm,0.055,0.13017218223958654,0.5
2,communities,IF1-jackknife+,0.05,0.11389604377678053,0.5
2,communities,IF1-JAWA,0.05,0.11514963886053664,0.5
2,communities,IF1-JAWAmm,0.055,0.12850939877942472,0.5
2,communities,IF2-jackknife,0.065,0.16216940402851443,0.5
2,communities,IF2-jackknife-mm,0.095,0.19274953479985102,0.5
2,communities,IF2-jackknife+,0.07,0.16348431701482224,0.5
2,communities,IF2-JAWA,0.07,0.16505574338121243,0.5
2,communities,IF2-JAWAmm,0.09,0.1890859726358337,0.5
2,communities,IF3-jackknife,0.1,0.20331240690804075,0.5
2,communities,IF3-jackknife-mm,0.125,0.2461747816952098,0.5
2,communities,IF3-jackknife+,0.11,0.20906000553028356,0.5
2,communities,IF3-JAWA,0.11,0.21124292802606368,0.5
2,communities,IF3-JAWAmm,0.125,0.24545364351372,0.5
2,communities,IF1-jackknife,0.12,0.23573256386805563,1.0
2,communities,IF1-jackknife-mm,0.15,0.26678632138818126,1.0
2,communities,IF1-jackknife+,0.12,0.23535389558828101,1.0
2,communities,IF1-JAWA,0.12,0.2376125811163135,1.0
2,communities,IF1-JAWAmm,0.14,0.2631816249168525,1.0
2,communities,IF2-jackknife,0.16,0.3192657336435033,1.0
2,communities,IF2-jackknife-mm,0.175,0.3749897474282387,1.0
2,communities,IF2-jackknife+,0.16,0.3197423186577225,1.0
2,communities,IF2-JAWA,0.165,0.32271470694176385,1.0
2,communities,IF2-JAWAmm,0.175,0.36944433644736935,1.0
2,communities,IF3-jackknife,0.195,0.3900850229956775,1.0
2,communities,IF3-jackknife-mm,0.23,0.46577473192933827,1.0
2,communities,IF3-jackknife+,0.195,0.392537489161754,1.0
2,communities,IF3-JAWA,0.205,0.39550219279125587,1.0
2,communities,IF3-JAWAmm,0.225,0.46069517463493664,1.0
2,communities,IF1-jackknife,0.225,0.43510266314712087,2.0
2,communities,IF1-jackknife-mm,0.255,0.49354984958909015,2.0
2,communities,IF1-jackknife+,0.225,0.435102663147121,2.0
2,communities,IF1-JAWA,0.225,0.4408887618368018,2.0
2,communities,IF1-JAWAmm,0.255,0.49141029792867846,2.0
2,communities,IF2-jackknife,0.275,0.5574670302907667,2.0
2,communities,IF2-jackknife-mm,0.355,0.6571652769603717,2.0
2,communities,IF2-jackknife+,0.295,0.5755840381222993,2.0
2,communities,IF2-JAWA,0.295,0.5850323342292101,2.0
2,communities,IF2-JAWAmm,0.355,0.6522981242466033,2.0
2,communities,IF3-jackknife,0.385,0.6834066514364971,2.0
2,communities,IF3-jackknife-mm,0.45,0.8157811621019522,2.0
2,communities,IF3-jackknife+,0.39,0.6894064473528185,2.0
2,communities,IF3-JAWA,0.395,0.6937914566526835,2.0
2,communities,IF3-JAWAmm,0.45,0.8102252707460829,2.0
2,communities,IF1-jackknife,0.39,0.7216968388498319,4.0
2,communities,IF1-jackknife-mm,0.46,0.8175572096624465,4.0
2,communities,IF1-jackknife+,0.4,0.7263082216317521,4.0
2,communities,IF1-JAWA,0.4,0.7307437500684637,4.0
2,communities,IF1-JAWAmm,0.45,0.8091238893819415,4.0
2,communities,IF2-jackknife,0.505,0.9480279802895595,4.0
2,communities,IF2-jackknife-mm,0.59,1.1065308579940574,4.0
2,communities,IF2-jackknife+,0.51,0.9533725356920526,4.0
2,communities,IF2-JAWA,0.51,0.958505747900084,4.0
2,communities,IF2-JAWAmm,0.59,1.1004139598852989,4.0
2,communities,IF3-jackknife,0.58,1.1173955986774349,4.0
2,communities,IF3-jackknife-mm,0.68,1.3473714374288517,4.0
2,communities,IF3-jackknife+,0.595,1.1331000932501798,4.0
2,communities,IF3-JAWA,0.595,1.1420668504808003,4.0
2,communities,IF3-JAWAmm,0.68,1.3442397277239235,4.0
2,communities,IF1-jackknife,0.615,1.1640297639599484,8.0
2,communities,IF1-jackknife-mm,0.67,1.3138856898251912,8.0
2,communities,IF1-jackknife+,0.625,1.1706727094375742,8.0
2,communities,IF1-JAWA,0.625,1.1832233479653738,8.0
2,communities,IF1-JAWAmm,0.665,1.296513036681485,8.0
2,communities,IF2-jackknife,0.69,1.4208675588794488,8.0
2,communities,IF2-jackknife-mm,0.79,1.6915106327600342,8.0
2,communities,IF2-jackknife+,0.71,1.4532689603409152,8.0
2,communities,IF2-JAWA,0.72,1.4724941829483404,8.0
2,communities,IF2-JAWAmm,0.79,1.688619983025792,8.0
2,communities,IF3-jackknife,0.765,1.6637472235997839,8.0
2,communities,IF3-jackknife-mm,0.93,2.8940720782931226,8.0
2,communities,IF3-jackknife+,0.755,1.621853414118754,8.0
2,communities,IF3-JAWA,0.76,1.6501202007347016,8.0
2,communities,IF3-JAWAmm,0.93,2.892673332911025,8.0
2,communities,IF1-jackknife,0.755,1.5913984662734468,16.0
2,communities,IF1-jackknife-mm,0.81,1.7805580533948437,16.0
2,communities,IF1-jackknife+,0.755,1.6135828346418455,16.0
2,communities,IF1-JAWA,0.76,1.634290073555961,16.0
2,communities,IF1-JAWAmm,0.8,1.7619819441711226,16.0
2,communities,IF2-jackknife,0.82,1.8642815824325956,16.0
2,communities,IF2-jackknife-mm,0.86,2.160506688725696,16.0
2,communities,IF2-jackknife+,0.815,1.863477791807667,16.0
2,communities,IF2-JAWA,0.82,1.878999207513306,16.0
2,communities,IF2-JAWAmm,0.86,2.111399098064786,16.0
2,communities,IF3-jackknife,0.825,1.8889927725282516,16.0
2,communities,IF3-jackknife-mm,0.9,2.9202236703971653,16.0
2,communities,IF3-jackknife+,0.815,1.89020735210058,16.0
2,communities,IF3-JAWA,0.815,1.9131500908401715,16.0
2,communities,IF3-JAWAmm,0.9,2.9116369438804277,16.0
2,communities,IF1-jackknife,0.795,1.7294241815508729,32.0
2,communities,IF1-jackknife-mm,0.84,1.9227190091080997,32.0
2,communities,IF1-jackknife+,0.795,1.7059546563839534,32.0
2,communities,IF1-JAWA,0.795,1.7328375480438811,32.0
2,communities,IF1-JAWAmm,0.81,1.7587470665241498,32.0
2,communities,IF2-jackknife,0.835,1.911242414504919,32.0
2,communities,IF2-jackknife-mm,0.87,2.185263666135419,32.0
2,communities,IF2-jackknife+,0.83,1.911242414504919,32.0
2,communities,IF2-JAWA,0.84,1.9732818958755587,32.0
2,communities,IF2-JAWAmm,0.85,2.007887637501593,32.0
2,communities,IF3-jackknife,0.84,1.9825855192408741,32.0
2,communities,IF3-jackknife-mm,0.875,2.2941985926414157,32.0
2,communities,IF3-jackknife+,0.84,1.9825855192408741,32.0
2,communities,IF3-JAWA,0.845,2.0545569382240685,32.0
2,communities,IF3-JAWAmm,0.865,2.132607518033156,32.0
2,communities,IF1-jackknife,0.825,1.7695764087206802,64.0
2,communities,IF1-jackknife-mm,0.87,1.9626162146198327,64.0
2,communities,IF1-jackknife+,0.825,1.7649568832149825,64.0
2,communities,IF1-JAWA,0.825,1.7786704720117585,64.0
2,communities,IF1-JAWAmm,0.86,1.9122382992915006,64.0
2,communities,IF2-jackknife,0.855,1.8839283627021044,64.0
2,communities,IF2-jackknife-mm,0.88,2.139670968145951,64.0
2,communities,IF2-jackknife+,0.87,1.9149635145883885,64.0
2,communities,IF2-JAWA,0.87,1.9702433288038046,64.0
2,communities,IF2-JAWAmm,0.875,2.1109166413920115,64.0
2,communities,IF3-jackknife,0.87,1.9598089317537206,64.0
2,communities,IF3-jackknife-mm,0.9,2.2367879794679295,64.0
2,communities,IF3-jackknife+,0.87,1.9805861060960022,64.0
2,communities,IF3-JAWA,0.87,2.044502887294466,64.0
2,communities,IF3-JAWAmm,0.895,2.2016961788540375,64.0
2,communities,IF1-jackknife,0.86,1.9575211349585993,96.0
2,communities,IF1-jackknife-mm,0.905,2.1283230797352557,96.0
2,communities,IF1-jackknife+,0.87,1.9575211349585993,96.0
2,communities,IF1-JAWA,0.87,2.028995952866477,96.0
2,communities,IF1-JAWAmm,0.9,2.0724563961863005,96.0
2,communities,IF2-jackknife,0.885,2.0637368589981326,96.0
2,communities,IF2-jackknife-mm,0.92,2.2774070325181355,96.0
2,communities,IF2-jackknife+,0.895,2.076871918782489,96.0
2,communities,IF2-JAWA,0.905,2.1319409901107504,96.0
2,communities,IF2-JAWAmm,0.92,2.2393041617733793,96.0
2,communities,IF3-jackknife,0.895,2.092615549642893,96.0
2,communities,IF3-jackknife-mm,0.92,2.318166093134641,96.0
2,communities,IF3-jackknife+,0.9,2.1125136434598546,96.0
2,communities,IF3-JAWA,0.91,2.1607010004978555,96.0
