itrial,dataset,method,coverage,width,L2_lambda
2,wine,IF1-JAWAmm,0.605,1.622258713769252,0.5
2,wine,IF2-jackknife,0.6,1.6023680078426796,0.5
2,wine,IF2-jackknife-mm,0.675,1.891238070837574,0.5
2,wine,IF2-jackknife+,0.625,1.6458381735497967,0.5
2,wine,IF2-JAWA,0.625,1.6563968333276544,0.5
2,wine,IF2-JAWAmm,0.675,1.8912009044487537,0.5
2,wine,IF3-jackknife,0.665,1.8178924075689222,0.5
2,wine,IF3-jackknife-mm,0.78,2.317734357989476,0.5
2,wine,IF3-jackknife+,0.66,1.8499291606894612,0.5
2,wine,IF3-JAWA,0.66,1.8732641835182884,0.5
2,wine,IF3-JAWAmm,0.78,2.316950295125571,0.5
2,wine,IF1-jackknife,0.625,1.5787343696572478,1.0
2,wine,IF1-jackknife-mm,0.695,1.769343987075889,1.0
2,wine,IF1-jackknife+,0.625,1.575514805804234,1.0
2,wine,IF1-JAWA,0.63,1.5827907167249546,1.0
2,wine,IF1-JAWAmm,0.69,1.7617309734956619,1.0
2,wine,IF2-jackknife,0.665,1.731556364185464,1.0
2,wine,IF2-jackknife-mm,0.735,1.9856326135571654,1.0
2,wine,IF2-jackknife+,0.67,1.7421743658170232,1.0
2,wine,IF2-JAWA,0.67,1.7551568018463537,1.0
2,wine,IF2-JAWAmm,0.73,1.9674844934375417,1.0
2,wine,IF3-jackknife,0.69,1.807066856383615,1.0
2,wine,IF3-jackknife-mm,0.775,2.1019705368152644,1.0
2,wine,IF3-jackknife+,0.685,1.8224374486090364,1.0
2,wine,IF3-JAWA,0.69,1.8316839558899787,1.0
2,wine,IF3-JAWAmm,0.77,2.0981578200247384,1.0
2,wine,IF1-jackknife,0.755,1.9026535583491513,2.0
2,wine,IF1-jackknife-mm,0.805,2.0510999230554003,2.0
2,wine,IF1-jackknife+,0.75,1.8842478502898032,2.0
2,wine,IF1-JAWA,0.755,1.8909219694646442,2.0
2,wine,IF1-JAWAmm,0.8,2.039587378629719,2.0
2,wine,IF2-jackknife,0.795,2.006882528374671,2.0
2,wine,IF2-jackknife-mm,0.825,2.1994696569252112,2.0
2,wine,IF2-jackknife+,0.785,2.0068825283746703,2.0
2,wine,IF2-JAWA,0.795,2.006882528374671,2.0
2,wine,IF2-JAWAmm,0.825,2.1994696569252103,2.0
2,wine,IF3-jackknife,0.795,2.0348309147479,2.0
2,wine,IF3-jackknife-mm,0.84,2.265822072200799,2.0
2,wine,IF3-jackknife+,0.81,2.044206512698908,2.0
2,wine,IF3-JAWA,0.81,2.062807224977391,2.0
2,wine,IF3-JAWAmm,0.84,2.263569113998429,2.0
2,wine,IF1-jackknife,0.865,2.3446850292264245,4.0
2,wine,IF1-jackknife-mm,0.895,2.492906391534557,4.0
